,model,params,score,train_time,test_time
0,Logistic Regression,"('l1', 'saga', 0.001)",4.762,0.03315285200369544,0.1765758659967105
1,Logistic Regression,"('l1', 'saga', 0.001623776739188721)",9.524,0.09181138500571251,0.16682966699590907
2,Logistic Regression,"('l1', 'saga', 0.0026366508987303583)",4.762,0.12388424300297629,0.15932323100423673
3,Logistic Regression,"('l1', 'saga', 0.004281332398719396)",38.095,0.3386290260023088,0.160774482996203
4,Logistic Regression,"('l1', 'saga', 0.0069519279617756054)",33.333,0.22145758300030138,0.16108447100123158
5,Logistic Regression,"('l1', 'saga', 0.011288378916846888)",33.333,0.3201961590020801,0.16239140600373503
6,Logistic Regression,"('l1', 'saga', 0.018329807108324356)",33.333,0.24516080399916973,0.17318875300406944
7,Logistic Regression,"('l1', 'saga', 0.029763514416313176)",33.333,0.27879344599932665,0.15952670400292845
8,Logistic Regression,"('l1', 'saga', 0.04832930238571752)",33.333,0.26128716400125995,0.15882550399692263
9,Logistic Regression,"('l1', 'saga', 0.07847599703514611)",33.333,0.29937085900019156,0.15945009300048696
10,Logistic Regression,"('l1', 'saga', 0.12742749857031335)",33.333,0.30354198699933477,0.16008528400561772
11,Logistic Regression,"('l1', 'saga', 0.20691380811147903)",33.333,0.30309043300076155,0.15982131200144067
12,Logistic Regression,"('l1', 'saga', 0.3359818286283781)",33.333,0.293052457003796,0.16056513799412642
13,Logistic Regression,"('l1', 'saga', 0.5455594781168515)",33.333,0.35107851599605056,0.1601197029958712
14,Logistic Regression,"('l1', 'saga', 0.8858667904100823)",33.333,0.3242093759981799,0.16165369100053795
15,Logistic Regression,"('l1', 'saga', 1.438449888287663)",33.333,0.5524288910019095,0.15936362199863652
16,Logistic Regression,"('l1', 'saga', 2.3357214690901213)",33.333,0.8818679889955092,0.15927101700071944
17,Logistic Regression,"('l1', 'saga', 3.792690190732246)",33.333,1.3765424619996338,0.16246626700012712
18,Logistic Regression,"('l1', 'saga', 6.158482110660261)",33.333,1.997243994002929,0.16136804599955212
19,Logistic Regression,"('l1', 'saga', 10.0)",33.333,2.8808454440004425,0.17949999600386946
20,Logistic Regression,"('l1', 'liblinear', 0.001)",19.048,0.031233091998728923,0.16096360200026538
21,Logistic Regression,"('l1', 'liblinear', 0.001623776739188721)",0.0,0.028916966999531724,0.16518016099871602
22,Logistic Regression,"('l1', 'liblinear', 0.0026366508987303583)",33.333,0.04022194500430487,0.1599048580028466
23,Logistic Regression,"('l1', 'liblinear', 0.004281332398719396)",33.333,0.03913820599700557,0.16622672099765623
24,Logistic Regression,"('l1', 'liblinear', 0.0069519279617756054)",47.619,0.04912492199946428,0.16283769099391066
25,Logistic Regression,"('l1', 'liblinear', 0.011288378916846888)",33.333,0.04670180600078311,0.16445238999585854
26,Logistic Regression,"('l1', 'liblinear', 0.018329807108324356)",33.333,0.06152801899588667,0.1618748000037158
27,Logistic Regression,"('l1', 'liblinear', 0.029763514416313176)",33.333,0.06407740500435466,0.16518432800512528
28,Logistic Regression,"('l1', 'liblinear', 0.04832930238571752)",33.333,0.06904496000061044,0.1642849599957117
29,Logistic Regression,"('l1', 'liblinear', 0.07847599703514611)",33.333,0.0698931220031227,0.15972500100178877
30,Logistic Regression,"('l1', 'liblinear', 0.12742749857031335)",33.333,0.11204397700203117,0.16354639099881751
31,Logistic Regression,"('l1', 'liblinear', 0.20691380811147903)",33.333,0.14001731199823553,0.1590106830044533
32,Logistic Regression,"('l1', 'liblinear', 0.3359818286283781)",33.333,0.12559254299412714,0.16048241299722577
33,Logistic Regression,"('l1', 'liblinear', 0.5455594781168515)",33.333,0.16362191500229528,0.16028279799502343
34,Logistic Regression,"('l1', 'liblinear', 0.8858667904100823)",33.333,0.20083992299623787,0.1583003630003077
35,Logistic Regression,"('l1', 'liblinear', 1.438449888287663)",33.333,0.17347195999900578,0.16234761800296837
